"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Grande Aurelio ","Devo fare i complimenti a tutto lo staff del millevoglieice che piano piano stanno portando il loro gelato ad un ottimo livello ammirevoli e grandi lavoratori oltre alla gelateria gestiscono anche una pasticceria millevoglie paste bune salati buonissimi torte sublimi!!!!!!! Lo consiglio a tutti!!!!!"
"ui_bubble_rating bubble_40","gelato cremoso","Il gelato è è gustosissimo da provare assolutamente il gusto mascarpone con fichi caramellati ! ottimi anche gli altri gusti !"
"ui_bubble_rating bubble_40","Buono il gelato. Può crescere.","Il gelato è molto buono: gustoso, cremoso. In particolare sono super il bacio e la pinolata. Quel che può crescere è il locale (freddino) ed anche la quantità del gelato (che spesso termina, soprattutto in serata)"
