"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Vale la pena fermarsi","Non capisco chi faccia recensioni negative.È una bar pasticceria e come tutti i bar ti permette di fare una buona colazione in comodità. Bel locale e buon servizio....fossero tutti così..."
"ui_bubble_rating bubble_10","Pasticceria..cosa???","Scrivete bar-tabacchi...altrimenti le persone leggendo pasticceria si aspettano anche di poter scegliere alcune varietà di dolci, piuttosto che trovarsi davanti a delle metà di panini col burro ed una spalmata di marmellata o nutella (roba che si mangia tranquillamente a casa) o a dei biscotti secchi da tè. Mignon quasi inesistenti e ridottissima la scelta. "
"ui_bubble_rating bubble_50","Una chicca!","Un bar/pasticceria molto bello, con ampie vetrate e curato nei dettagli; la ragazza che ci ha servito è stata carinissima. Tappa obbligata per chi passa di qui e vuole una buona colazione o un break! "
"ui_bubble_rating bubble_50","Brave ..brave","Abito a pochi km e recentemente hanno aperto. Brave le ragazze...ottimo servizio ..e veramente una buona presenza di paste e altro."
