"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Originali alternative!","Ottime le piadine e crescioni. Come valore aggiunto ci sono le originali specialità messicane rivisitate con l'impasto tipico romagnolo.La gestione è giovane e alla mano.Da provare!"
"ui_bubble_rating bubble_30","Partenza ok!","Abbiamo preso un coupon di tippest e con soli 10€ abbiamo assaggiato diverse specialità.Ragazzo cordiale anche se si avverte la difficoltà di gestire da solo sia fornelli che clienti. In bocca al lupo!"
"ui_bubble_rating bubble_50","Piadina e crescioni e altre specialità , tutto buonissimo","Sono posti come questo che ti fanno apprezzare la cucina romagnola , piadina squisita, ben farcita e un menu con tantissime scelte. Crescioni belli grandi , ho assaggiato anche i tortellini alla nutella, spaziali e tutto a prezzi veramente contenuti. Inoltre i gestori sono molto simpatici e disponibili. Sicuramente ci tornero' , a Cesena, al Pit Stop, una tappa e' d'obbligo"
"ui_bubble_rating bubble_50","Crescione a dir poco perfetto!","Sono stato proprio questa sera a mangiare in questa piadineria un bel pomodoro-mozzarella-salame piccante (alias Diavola), decidendo di ritornarci dopo esserci stato con amici. Il crescione è buonissimo, molto leggero e gli ingredienti di ottima qualità. Il ragazzo che si occupa del locale è disponibilissimo, molto gentile, cordiale e socievole con tutti. Una meta altamente consigliata a chiunque voglia mangiare un crescione di qualità in un'atmosfera rilassata e piacevole."
"ui_bubble_rating bubble_50","Cena con rotoli e crescioni","Ottimo locale, tutto buono,ideale anche per i bambini con un parco giochi a disposizione.Il mio rotolo era ottimo e mia figlia del suo era entusiasta e la moglie è rimasta contenta.Ottimo"
"ui_bubble_rating bubble_50","Crescione speciali","Complimenti. ....davvero buona....ritornerò sicuramente per gustarmi una quesadilla e un buon taco"
