"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_30","Da rivedere","Nulla di sbagliato in linea di massima. Il locale da poco meno di un anno ha cambiato gestione, passando da professionisti del settore che gestiscono più locali nella zona ai nuovi gestori che si sono un pó improvvisati. Rispetto la vecchia gestione ho notato un calo nella qualità del servizio e della pizzeria. La cucina ancora tiene il livello medio. Pregevoli gli spettacoli di fontane danzanti offerti dai proprietari del locale che hanno inventato questa forma di attrazione.Da provare, senza troppe aspettative per il momento."
"ui_bubble_rating bubble_50","Posto fantastico","Ubicazione molto molto bella. Pizza davvero buona.I colleghi che han mangiato i secondi hanno manifestato una buona soddisfazione.Servizio e cordialità ok.Contento della serata passata."
