"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_40","Il miglior kebab di ravenna","Prezzi contenuti ottimo condimenti ed ottima carne. In assoluto il miglior kebab di Ravenna senza nessun dubbio."
"ui_bubble_rating bubble_50","ottimo","Il miglior kebab ! erano anni che non ne mangiavo uno ed è stato una piacevole sorpresa . fresco e di qualità. Il locale offre anche degli ottimi menù con patatine e bibita."
"ui_bubble_rating bubble_40","Bravi","Locale piccolo ma con un comodo parcheggio. Abbiamo consumato un pasto veloce. Kebab cotto bene e saporito. Buon rapporto in base al prezzo."
"ui_bubble_rating bubble_50","Uno dei migliori a Cesena","Uno dei migliori Kebab di Cesena, quando la voglia di kebab è forte vado sempre a prenderlo qua! Consigliatissimo"
"ui_bubble_rating bubble_50","Il Kebab per eccellenza a Cesena","Per il nostro punto di vista il Kebab più buono che si mangia a Cesena. lo conferma il fatto che a qualunque ora ci si vada c'è sempre gente a mangiare. Il personale è molto cortese, simpatico e disponibile. Da quello che si può vedere il locale e la cucina sono molto puliti."
