"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_40","Un mix di cucina tipica e di pesce...................","Loris ed il suo staff sono bravi accoglienti, cordiali e disponibili, offrono piatti per tutti i gusti davvero buoni, si possono portare a casa o consumare in una sala attrezzata messa a disposizione senza servizio al tavolo ma con tutti i crismi per poter serenamente gustare quello che si desidera. Se non è pronto in men che non si dica viene preparato e servito espresso, buon appetito ed il prezzo è proporzionato in modo onesto alla qualità ricevuta. Prenotare può fare la differenza nei momenti di massimo affollamento."
"ui_bubble_rating bubble_50","Rosticceria la Gastronomica una garanzia","A Cesena in Via Bandiera Fratelli c'è la Rosticceria la Gastronomica dove è possibile mangiare nell'adiacente sala. E' possibile ordinare dal solito menù o dal vario menù del giorno.Quando mi fermo nella pausa pranzo ho sempre mangiato benissimo. Le porzioni sono abbondanti e i prezzi bassi.L'ultima volta ho preso un abbondante e ottimo primo di pesce euro 5,50.Ideale per la pausa pranzo e per l'asporto.Il servizio è veloce e gentile."
