"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_40","Semplice ma molto buono","Arrivati senza prenotazione, ci hanno accolti subito offrendo varie opzioni, abbiamo preso una fiamminga con affettati misti, formaggi, mozzarella e melone. Accoglienza della signora roberta perfetta. Torneremo"
"ui_bubble_rating bubble_10","PESSIMO","pranzo di Pasqua in famiglia abominevole.Qualità dei prodotti non classificabilePasta industrialeCarne indecorosa "
"ui_bubble_rating bubble_40","....a pranzo con dei colleghi, menù fisso 10 €.","....seguendo il consiglio di un collega sono capitato a pranzo in questo locale abiamo scelto il menu fisso da 10 €. capito bene 10 €.!!! ne abbiamo speso 11 €. perché il caffè non è compreso. Locale spartano ma, quello che conta personale gentilisimo e menu ottimo. Una parpadella al ragù e piselli, abbondante ottima pasta e ottimo ragù, come secondo carne mista veramente ottima e ben cotta con contorno di patate. Buona la piadina. Vino rosso sfuso di buona qualita e una bottiglia di acqua. Lo consiglio alla grande a tutti! Ci ritornerò sicuramente. Provare per credere...."
