"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Veramente ottimo","Pizza buona e veramente digeribile...Consiglio di provarla!!! Proposte interessanti l'accoglienza dei gestori ti fa sentire come a casa!!!"
"ui_bubble_rating bubble_40","Prima volta","Sono andato per la prima volta dopo che me ne avevano parlato molto bene..pizza croccante e sottile molto buona, ottimi ingredienti, una bella scoperta, a mio avviso una delle migliori tra le pizzerie da asporto della zona. Personale gentilissimo...ci tornerò sicuramente"
"ui_bubble_rating bubble_50","Pizza a pari (anzi..forse meglio!) Di un ristorante ","Sono cliente abituale del macanin pizza da quando ha aperto. Se vi piace la pizza sottile e croccante dovete provarla assolutamente ! A mio parere la migliore è quella con impasto al farro senza lievito: saporito e super digeribile. Complimenti a tutto lo staff!persone squisite quanto le loro pizze ! Fatte con ingredienti freschi e genuini. Siete il meglio in zona cesena lato mare!continuate così!!!!!!"
"ui_bubble_rating bubble_20","Pane condito. Sconsiglio.","Penso sia stata l'unica volta in cui non sia riuscito a mangiare una pizza intera perché schifato. Se questa la si chiama pizza beh allora ci si sbaglia di grosso. È comparabile ad una schiacciatina di pane condita; di pizza non c'è nulla.Do 2 stelle solo per gli ingredienti comunque sia buoni e per il personale molto gentile."
