"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_40","Trattoria e gourmet definizioni entrambe azzeccate.","Prenotando con il giusto anticipo ci hanno riservato un tavolo comodo e adeguato (eravamo in parecchi), musica di sottofondo al giusto tono e più che sufficiente spazio fra i tavoli, all'opposto dei bagni qualche gioco per bambini. Detto questo ciò che abbiamo mangiato era tutto di alta qualità, antipasto freddo (salumi, sottaceti, formaggi), bis di primi fatti in casa veramente buoni, carne alla griglia, contorni e dolci, il tutto corredato da un buon Sangiovese della casa, qualche schiacciatina, pane, grissini e piadina fatti in casa. I costi non possono essere da osteria ma adeguati a quello che si consuma (porzioni più che sufficienti). Servizio veloce, cortese, efficiente e doggy bag perché non si può lasciare lì!!"
"ui_bubble_rating bubble_30","Buon ristorante romagnolo con un tocco gourmet","Buon ristorante con cibo di qualità e porzioni giuste.L’ambiente è di una tipica trattoria romagnola.Il venerdì sera c’è il karaoke e la serata è stata molto rumorosa.Il conto è stato giusto. "
"ui_bubble_rating bubble_50","Ottimo","Sono stato diverse volte qua a mangiare. Tutto buonissimo dagli antipasti ai dolci. Ottima anche la pizza. Prezzo giusto. Tornerò ancora a mangiare qua."
