"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","DA QUANDO L'HO SCOPERTA,è LA MIA PRIMA SCELTA!","Oramai sono di casa in questo chiosco...i ragazzi sono abituati ai miei 5 minuti di tempo e mi accontentano sempre.Voglio partire parlando di loro perchè sono fantastici,di una gentilezza,simpatia e disponibilità uniche.Sono poche le persone rimaste così pure,che mettono ancora tanta passione nel loro mestiere.Passione che viene confermata quando si assaggiano i loro prodotti.Freschi,farciti in maniera super abbondante e buonissimi.Li troverete praticamente sempre aperti e sempre col sorriso.Se potessi,ne darei 10 di stelle,5 non bastano!"
"ui_bubble_rating bubble_50","Partita","Tappa obbligatoria quando andiamo allo stadio ottimo crescioni e piadine con tantissime varietà e genuine . Ottimo il personale e pulito da consigliare ."
"ui_bubble_rating bubble_50","LA PIADINA 5 STELLE","tappa obbligata per piade e cassoni di alta qualità. Farciture generose ma molto buone. Impasto gagliardo. Consigliato anche per la gentilezza e la disponibilità. Piade con strutto oppure olio o integrali. Cassoni con mille farciture. Quello che non è in menu viene preparato al momento."
"ui_bubble_rating bubble_40","Sempre aperta","A Cesena per appuntamenti di lavoro che finiscono nel primo pomeriggio. Giro e trovo tutto chiuso ma questa piadineria immancabilmente aperta. Gentilissimi i gestori e buona la piadina farcita con salumi di qualità. I prezzi proporzionati."
"ui_bubble_rating bubble_50","Piadina deliziosa di fronte allo stadio","Il 25 aprile, sono stata presso questa piadineria prima di tornare a casa dopo un weekend a Mirabilandia. Ho preso una piadina con bresaola, rucola, pecorino e pomodorini..un sogno! Veramente deliziosa, al prezzo di € 4,80. Poi ho acquistato anche 4 piadine vuote da portare a casa a € 0,80 l'una. Ogni 10 piadine vuote, una è in regalo. Ci sono un paio di posti a sedere fuori, inoltre è proprio di fronte allo stadio. La coppia che gestisce il locale è davvero gentilissima e simpatica. Consigliato!"
