"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_30","Niente di che...","Ho ordinato 11 pizze a domicilio e sono arrivate puntuali ma una che doveva essere verdure grigliate era un ammasso di olive, carciofini, zucchine e rucola...ma cosa c'entrano con le verdure grigliate? Bastava dirmi che non ne avevano! Altra nota: da quando il proprietario/pizzaiolo Michele ha lasciato ad un'altro pizzaiolo le pizze si sono notevolmente rimpicciolite: quelle che mi sono arrivate sembravano babypizze..."
"ui_bubble_rating bubble_50","Pizza buonissima","Pizza ottima, molto farcita e pronta in pochi minuti. Lo staff molto disponibile. Da provare assolutamente"
"ui_bubble_rating bubble_40","Pizza","Vengo spesso a prendere la pizza qua, sempre soddisfatto della qualità degli ingredienti, della cottura e del prezzo... "
"ui_bubble_rating bubble_30","Punto di riferimento","Se vieni da Gallo non sbagli. Pizza sempre buona, condimenti scelti con cura. Ecco, non aspettatevi faville o cose fantasiose che vi stuzzichino più di tanto, ma la base è una sicurezza. Molto validi le farine alternative che propone: antichi cereali o kamut e farro."
"ui_bubble_rating bubble_40","pizza molto buona","ottimi ingredienti e servizio efficiente pizza da asporto o volendo la si può gustare sul posto ! buono rapporto qualità prezzo !!"
"ui_bubble_rating bubble_40","Puntualita' e cortesia...","Esasperati dai continui ritardi nella consegna delle pizze del solito fornitore sempre utilizzato in trasferta a Calabrina a casa di amici, abbiamo sperimentato (di Domenica sera) questa rinomata pizzeria. Cortesia della ragazza che ha preso l'ordine (in due occasioni visto che abbiamo fatto un'aggiunta successiva) e puntualita' spettacolare nel rispettare i tempi di consegna che ci avevano indicato per il ritiro. Buono l'impasto al Kamut. Buone le farciture. Non molto alta ma croccante e ben cotta. Locale pulito e accogliente. Da riprovare!!!"
