"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"ui_bubble_rating bubble_50","Spettacolo","Bellissimo bistrot... pranzo ottimo, maialino squisito e vino speciale.Il servizio e come sempre impeccabile e l'ambiente accogliente... ritornarci è stata una conferma"
"ui_bubble_rating bubble_50","Un Natale perfetto!!!","Sono stata tempo fa in questo bistrot e ho deciso di ritornare perché mi ha colpito davvero tantissimo. Il cibo era ottimo, maialino da latte impeccabile; il dolce davvero acquisito,i vini una delizia per il palato e sopratutto il personale,come sempre,cortese e professionale. Senz'altro questo bistrot è diventato il mio preferito! Bravi ragazzi, continuate così!"
"ui_bubble_rating bubble_50","Buonissimo ","Mangiato benissimo il giorno di Natale, la composizione dei piatti è di alta cucina così pure la ricerca dei sapori .. lo staff è molto cordiale, ti fa sentire a casa.. ve lo consiglio !! "
"ui_bubble_rating bubble_50","Bravi bravi","Sono stata a cena per la vigilia, mi avevano detto di questo piccolo ristorante con cibi prelibati e cucina assolutamente a vista. Risultato spettacolare.... Nell'ordine prosecco ed assaggi di benvenuto, sempre graditi, pane fatto da loro buonissimo, diaframma, filetto veramente delicati e dolci all'altezza. Ci sono pochi tavoli ed è sempre pieno prenotate ed andateci, sarà una bella esperienza. "
"ui_bubble_rating bubble_50","Torneremo a Firenze solo per voi","Dalla Sicilia siamo venuti in vacanza a Firenze e leggendo le recensioni non potevamo non provare questo magnifico posto. Abbiamo ordinato diversi secondi e, personalmente, quello che maggiormente mi ha colpito è stato il piatto di topinambur accompagnato da un vino 2015 del sud-Tirolo.. Sono rimasta veramente molto soddisfatta. Personale molto gentile, cordiale e sempre presente.. Spero di ritornare presto!! Bravi ragazzi, continuate così!!"
"ui_bubble_rating bubble_50","Che bella cenetta!!","Da Boston a Firenze...il miglior bistrot che io abbia mai provato in Italia! La vera cucina fusion....moderna....alla ricerca dei sapori orgasmici per il palato. Complimenti per il menu` e per il servizio.... Ottima anche la selezione dei vini. Rapporto qualita`\prezzo pienamente soddisfacente! A presto, torneremo sicuramente con tutta la famiglia..."
"ui_bubble_rating bubble_50","Semplicemente eccezzionale.","Ieri per puro caso siamo passati davanti al locale mentre stavamo passeggiando; guardando dentro mi sono accorto che era lo stesso ristorante che avevo visto on Hotel prima di scendere su tripadvisor, mi sono fidati, sono entrato col mio manager e siamo rimasti incredibilmente soddisfatti, dai piatti, dal servizio, dalla gentilezza, dalla passione con cui lo chef (un ragazzo molto giovane) preparava i piatti. Avendo una cucina a vista, con qualche griglia e qualche fornello a induzione potrete notare la spettacolarità nel vedere una fusione sinergica di bontà, ottima preparazione e soprattutto di attenzione verso il cliente.Non vedo l'ora di ritornarci: un'esperienza senza rivali."
"ui_bubble_rating bubble_50","Dalla Calabria per provarlo....","In vacanza nella bella Firenze. Mai fatta scelta più azzeccata di pranzare in questo posticino... diaframma super e vini di classe. Direi il meglio "
"ui_bubble_rating bubble_50","Cena squisita","Mai mangiato così bene in vacanza.... Bistrot ai primissimi livelli sul panorama nazionale! Ottimo primo e secondi da leccarsi i baffi... E che dessert!"
"ui_bubble_rating bubble_50","Must-do","Mi trovavo a Firenze con amici e per caso passeggiando abbiamo notato questo bistrot,uno dei titolari (immagino)ci ha invitato per un prosecco ,così non appena si è liberato un tavolo abbiamo potuto provare il menu che mi aveva particolarmente colpito.abbinamenti inusuali , prodotti curiosi ,e diverse opzioni anche per vegetariani. Devo dire che è stata una bellissima sorpresa tanto che nei giorni a seguire siamo tornati sia a pranzo che a cena per festeggiare il compleanno di uno degli amici .Ogni volta abbiamo ricevuto un cestino d pane appena sfornato caldo e croccante.Tra ibmiei preferiti sicuramente il topinambur con crema d rafano ,melograno e gamberi ,un esplosione di sapori e colori che difficilmente dimenticherò,tartare di carne ,con un sapore fresco e leggero ,lingua d vitello e scampi con polpa d mandarino sublime.ecceZionale secreto con salsa al tamarindo ,lo chef per questo piatto è anche venuto al tavolo spiegando L unicità della salsa con più ingredienti, piccione buono ma per i miei gusti personali troppo forte come sapore, il diaframma invece in altra bella sorpresa ,i primi del pranzo fuori menù eccezionali ,(pasta fresca)Si respira la passione ,e la professionalità,rendendo un esperienza a 360 gradi piacevole .che dire non vedo L ora d tornare a Firenze e deliziarmi ancora .Ps.prezzi nella media !Servizio impeccabile "
"ui_bubble_rating bubble_50","Cenetta tra amiche","Cenetta intima tra amiche in questo piccolo ristorante in Borgo La Croce!personale gentilissimo e preparato e cibo ottimo!"
"ui_bubble_rating bubble_50","Ottimo.","Pranzo veloce, ottimi prodotti e personale gentilissimo. Cosa chiedere di più?Ci tornerò di sicuro!"
"ui_bubble_rating bubble_50","Cena con amici","Di ritorno In questo posto con amici per riprovare le specialità di questo Ristorante, che dire tutto riconfermato!!! Dall’accoglIenza alle portate e per finire al vino, sempre tutto molto buono!!! Confermata la scelta!!! Consigliato!!!"
"ui_bubble_rating bubble_50","Cena di lavoro ","Recandosi a Firenze per lavoro ho trovato questo ristorante suggerito da Google. ... devo dire che è stato azzeccato ... ottima cena a buon prezzo .. lo consiglio vivamente. .. "
"ui_bubble_rating bubble_50","Anniversario","Eccelente ristorante con cuochi molto esperti e gentili abbiamo trascorso un bellissimo anniversario"
"ui_bubble_rating bubble_50","Che bontà!","Ero già stato qui in precedenza, così domenica ho deciso di pranzarvi nuovamente. Questa volta ho optato per stinco di maiale con senape a l’ancienne: che dire? Cambia il piatto ma non la bontà!!"
"ui_bubble_rating bubble_50","Super felice di essere tornata","E la 2 volta che ritorno in questo ristorante ,ragazzi super simpatici ,accoglienza e servizio benissimo , e si mangia da Dio consiglio ,tutti di andarci a mangiare resterete soddisfatti ."
"ui_bubble_rating bubble_50","Pranzo domenicale","Io e la mia famiglia siamo stati a mangiare domenica già è la seconda volta che vengo in questo piccolo bistrot nuovo menu ottimo il maialino da latte cotto 18 ore super morbido mio marito a preso la coda di vitello con Fois Gras squisita e abbiamo preso anche un primo da dividere e dei ravioli di pasta fresca farciti al gambero e agrumi sublimi che dire super consigliato ormai tappa fissa "
"ui_bubble_rating bubble_50","Cena top","Piatti eccezionali, locale molto bello e curato... Servizio eccellente e professionale, Grazie a Salvo x l accoglienza e il trattamento che ci ha riservato. Vi consiglio questo Bistrot. "
"ui_bubble_rating bubble_50","Cena","Ottimo. Tutto molto buono, prenotazione eccellente, camerieri molto disponibili, prezzi onesti. Consigliatissimo"
"ui_bubble_rating bubble_50","Wow","Professionalità e accoglienze massima! Una grande esperienza enogastronomica...molto soddisfatto a presto!"
"ui_bubble_rating bubble_50","Ottimo pranzo ","Sono stato in questo ristorantino con mia moglie e mia figlia di domenica a pranzo e devo dire ke sono rimasto davvero soddisfatto, sia del personale sia dei piatti molto bene curati e il cibo buono, soprattutto cose un po’ più particolari che non si mangiano tutti i giorni. Speso una cifra giustissima. "
"ui_bubble_rating bubble_50","Super Eccellente","Cibo squisito preparato tutto nei minimi dettagli belli da vedere e indistinguibile il gusto dovrete assaggiare per capire la bontà di questi piatti i titolari sono molto giovani ma preparatissimi gentilissimi ritornerò senz'altro consigliatissimoo"
"ui_bubble_rating bubble_50","Ottimo!","Leggendo le recensioni con i miei amici abbiamo deciso di provare questo bistrot.Ci siamo trovati Molto bene sia per la qualità del cibo che per il personale molto cordiale. Locale accogliente, complimenti ragazzi."
"ui_bubble_rating bubble_50","Buonissimo!!!","Serata ottima! Personale gentilissimo e piatti di ottima qualità accompagnati da vini partìcolari. Dopo questa serata ritornerò senz' altro!"
"ui_bubble_rating bubble_50","Ottimo bistrot...","Locale piccolo ma carino e curato in ogni dettaglio, bravissimi e competenti sia il cuoco che la persona in sala. Ottimi sia gli antipastini che i primi piatti (risotto radicchio e noci, maltagliati alla carne) degustati. Ci torneremo senz'altro."
"ui_bubble_rating bubble_30","Anche se.....","Il locale è carino anche se le sedie sono scomode avendo un appoggio per la schiena molto distante. Abbiamo mangiato bene anche se l’impiattamento è indubbiamente da rivedere. Il cibo è buono e i panini caldi sono da elogiare, non lo è invece la tartare tolta dal frigo e servita. Buon sapore ma troppo fredda . Il dolce non lo abbiamo apprezzato perché il brownies va servito accompagnato da crema calda e non da gelato al caffè freddo. Almeno non in inverno . Tutto sommato , un buon posto. "
"ui_bubble_rating bubble_50","Ottimo","Ottimo pranzo, le portate rispondono alle aspettative e sono rimasto davvero soddisfatto. Personale molto qualificato, ritornerò."
"ui_bubble_rating bubble_50","Eccezionale","Ottimo ristorante, personale molto disponibile e presente, piatti buonissimi. Consiglierei questo locale a chiunque abbia intenzione di assaggiare portate molto particolari non soltanto a livello estetico, ma anche a livello culinario"
"ui_bubble_rating bubble_50","Alto livello <U+0001F64C><U+0001F64C><U+0001F64C>","Sono stato una settimana fa a mangiare in questo posto e posso dire che il tocco magico di Salvo si vede. Veramente cucina di altissimo livello e ambiente carino. Consigliabile"
"ui_bubble_rating bubble_50","Eccezionale ","Che dire tutto squisito ragazzi preparatissimi ci hanno consigliato un piatto buonissimo il segreto del maiale. Squisito, consiglio a tutti di provarlo! "
"ui_bubble_rating bubble_50","Magnifico","Ristorante MOLTO accogliente e una preparazione eccezionale i piatti molto curati nei particolari i vini adatti ai propri palati da ritornarci sempre"
"ui_bubble_rating bubble_50","Originalità e bravura","Cena con la mia ragazza in questo locale piccolo ma super accogliente. Piatti originali, molto curati. Ci hanno pure offerto un bicchiere di prosecco come benvenuto."
"ui_bubble_rating bubble_50","Cena speciale","Con il mio ragazzo siamo stati a cena in questo grazioso bistrot, abbiamo provato l'anatra. Eccezionale! Cuoco bravissimo, non è facile proporre dei piatti particolari e renderli squisiti!"
"ui_bubble_rating bubble_50","Innovativo!!","Un bistrot innovativo che mancava a Firenze! Piatti particolari ma sublimi allo stesso tempo! Ne sono rimasta entusiasta . Tornerò!!!"
"ui_bubble_rating bubble_50","locale grandiosoooo!!!!","Sono stato per una cena con degli amici(3 persone),siamo rimasti colpiti subito dall'atmosfera,specialmente per l'accoglienza gentile del personale giovanissimo.Il menu è davvero soddisfacente per ogni tipo di richiesta,la qualità dei piatti davvero indiscussa.Torneremo sicuramente.T O P!!!!!!!"
"ui_bubble_rating bubble_50","Trip in family","Sono stato con la mia famiglia a Firenze per un Week end. per fortuna abbiamo cenato da Senz altro!! Che dire una cena al quanto spettacolare!!! Mi complimento con gli chef!!! !PROFESSIONISTI DELLA CUCINA!!!!!!"
"ui_bubble_rating bubble_50","Bellissimo bistro a Firenze","Seguendo le recensioni di trip decido di portare mia moglie x una serata romantica in questo piccolo è bellissimo bistro, lil cibo è risultato particola è superlativo con fusione di piatti molto intrigante Consiglio la lingua di manzo ed il piccione, anche i dolci sono molto buoni!!Carta dei vini cotta ma giusta, prifessionalita ed educazione fanno da padrone a questo locale Grazie ed a presto"
"ui_bubble_rating bubble_50","Esperienza fantastica!!!!","Cena deliziosa in questo piccolo locale zona borgo la croce,abbiamo deciso di cenare qui vista la nuova apertura e per provare i loro piatti.Il menu veramente particolare con ingredienti ricercati,personale cordialissimo(molto giovani) ed un locale arredato nei minimi particolari ad accoglierti.Ritorneremo sicuramente!!!!"
