"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"ui_bubble_rating bubble_40","simpatica trattoria","colti dalla fame improvvisa ci siamo imbattuti in questo ristorantino senza troppe aspettative, invece abbiamo pranzato davvero molto bene seppur scegliendo piatti molto semplicipersonalmente ho potuto gustare un ottimo peposo piatto tipico toscano (ricorda un po' il brasato)personale estremamente gentile e disponibilelocale curato e pulito"
"ui_bubble_rating bubble_50","Ottimo","Cibo ottimo, locale pulito e personale accogliente.Il locale si trova vicino al centro, si può mangiare sia dentro che fuori.Lo consiglio sia per l'ottimo cibo e sia per la posizione centrale."
"ui_bubble_rating bubble_50","La vera fiorentina ","Vuoi la vera ciccia fiorentina alta, gustosa, al sangue dentro e fantasticamente cotta fuori? Beh dovete venire qui, il tutto accompagnato da cappelle di funghi e fiori di zucca fritti idilliaci e finalmente un prezzo assolutamente onesto!!!!! Felice di esserci stato e aver mangiato così bene!!!!! "
"ui_bubble_rating bubble_50","Un ottimo ristorante di qualità in via Cavour","Locale pulito ed accogliente. Personale gentile. Ho mangiato un antipasto misto ed linguine zucchine e gamberi ed erano veramente squisite! "
"ui_bubble_rating bubble_40","Una ottima bistecca","In un bel locale abbiamo mangiato una favolosa fiorentina. ottimo locale e otimo rapporto qualità/prezzo.Tutto molto buono. Da ritornarci."
"ui_bubble_rating bubble_40","Consigliato ","Pranzo con gli amici il giorno di capodanno, abbiamo mangiato veramente bene, il cameriere molto gentile e simpatico, il locale è molto caratteristico e ben curato, il cibo molto buono ed abbondante, i prezzi non eccessivi considerato che era l'ultimo dell'anno!"
"ui_bubble_rating bubble_20","Pessimo","Girando x Firenze ci siamo imbattuti in questa trattoria , pensando di aver fatto una buona scelta ..ordiniamo tre pizze una cosa grossa non mi era mai capitato ci ha portato 3 pizze surgelate a un prezzo di 12 euro l'una , pessime ...per fortuna la birra era decente ...viste le recensioni di prima non pensavo questo trattamento forse è cambiata la gestione ? .. sicuramente non torneranno più "
"ui_bubble_rating bubble_50","Miglior cameriere ","Cibo ottimo, servizio altrettanto specialmente grazie al vostro cameriere Gianni, persona molto cordiale e gentile. "
"ui_bubble_rating bubble_50","filetto di bistecca favoloso","locale ben rinnovato e accogliente. personale qualificato e cordiale..per non parlare del mangiare che mi ha fatto rimanere a bocca aperta.il top la tagliata morbidissima e squisita"
"ui_bubble_rating bubble_30","Per una cenetta in compagnia senza pretese","Ottima location, in una via Cavour tranquilla a due passi dal mondo. Personale straniero ma molto gentile e disponibile, sempre col sorriso. Particolari curati, ad iniziare dall'apparecchiatura. Lo consiglio per una sosta in centro, ma anche per una tranquilla cenetta con amici."
"ui_bubble_rating bubble_30","Cibo buono, personale meno","Ottima posizione, a due passi dai principali luoghi di interesse. Menù molto vario, prodotti di ottima qualità, cibo squisito. L'unico lato negativo è il personale: non essendo molto esperto di cucina toscana ho chiesto delucidazioni su un piatto (il peposo) e la cameriera non ha saputo dire altro se non è carne! (cosa che avevo capito, se non altro perché il piatto è nella sezione carne del menù). Credo che per un ristorante, soprattutto turistico, dare informazioni sulla cucina tipica dovrebbe essere alla base del servizio."
"ui_bubble_rating bubble_50","Barbecue ottimo ristorante....","Personale gentile, bella location, possibilità di mangiare fuori sulla bellissima via Cavour! Prezzi nella media, ottima la qualità della carne!"
"ui_bubble_rating bubble_50","Ottimo ristorante","Ottimo connubio tra cucina internazionale e qualità italiana. A due passi dal Duomo .Il Personale è accogliente e professionale. Ci tornerò sicuramente"
"ui_bubble_rating bubble_10","scanaloso","posto solo costruito , ma il mangiare dove lo comprano, personale che cambia di continuo,ce la mettono tutta i giovani camerieri ma risultato scarso, a guardar bene nei piatti valanghe o di sugo o di olio e pizza iper congelata, pensate mentre mangiavo sacchettate dell' esselunga con pizze congelate, altro che vera cucina italiana , menu illegibile e non comprensibilepieno di migliaia di foto e disordine nelle varie pietanzebistecca ....? ma dove una costata iper congelata e scongelata su una piastra,non fermatevi si rischia l epatite sconsigliatissimo, vale la pena più una spremuta per strada che non un furto....a dimenticavo diffidare della farsa dei titolari con sorriso e scortesia solo per danaro attenzione non italiani sia loro che la cucina, ora giudicate voi dalle recensioni, senza offesa, lavorano per sfamare i pochi turisti di passaggio inconsapevoli o poco conoscitori della ns cultura italiana del ciboper cui RUBASOLDI...osceno da chiusurail risultato dell italia culinaria improvvisati ladri turchi"
"ui_bubble_rating bubble_50","cibo deliziosooo","se passate per un weekend a firenze dovete passare qui! vicinussimo al Duomo, carne tenera e saporita a buon prezzo anche primi e contorni deliziosi. il personale é molto attento alla clientela. ve lo consiglio vivamente!!"
"ui_bubble_rating bubble_50","Bisteka Fiorentina","Vale experimentar a Bisteka local ( steak ). Próximo à Piazza Del Duomo, ambiente tranquilo e com bom atendimento."
"ui_bubble_rating bubble_50","Rapporto qualità/prezzo eccellente","Siamo capitati in questo locale per caso. Attirati dai prezzi abbordabili abbiamo deciso di pranzare qua. Servizio impeccabile, atmosfera originale e cibo molto buono. Prezzi decisamente più onesti e più bassi di molti altri ristoranti della zona. "
"ui_bubble_rating bubble_40","Braci ragazzi!","Abbiamo fatto qui due pranzi e una cena! davvero squisiti, da leccarsi anche le dita! Ambiente molto piccolo, i ragazzi sono gentilissimi e se non si ha fretta si riesce a trovare un posto da sedersi...Il locale poi è veramente suggestivo,Rapporto qualità/prezzo eccezionale: Sicuramente da provare! E noi ci torneremo di sicuro"
"ui_bubble_rating bubble_50","Ottimo piccolo ristorante con personale estremamente cordiale",""
"ui_bubble_rating bubble_50","Ottima cena e personale delizioso",""
"ui_bubble_rating bubble_50","Cibo & super cordiale servizio migliore",""
"ui_bubble_rating bubble_50","Quella ZUPPA era incredibile!",""
"ui_bubble_rating bubble_50","& Gusto Elegante",""
"ui_bubble_rating bubble_50","Cordiale, delizioso",""
"ui_bubble_rating bubble_50","Pranzo",""
"ui_bubble_rating bubble_50","Cibo e servizio eccellente",""
"ui_bubble_rating bubble_50","Gentile",""
"ui_bubble_rating bubble_50","Esperienza meravigliosa!",""
"ui_bubble_rating bubble_50","Incantevole!",""
"ui_bubble_rating bubble_40","Le paste sono incredibili!",""
"ui_bubble_rating bubble_50","Ottima esperienza...",""
"ui_bubble_rating bubble_50","Buon cibo e ottimo servizio",""
"ui_bubble_rating bubble_50","Ottimo pasto",""
"ui_bubble_rating bubble_50","Posto fantastico, ottimo cibo e personale",""
"ui_bubble_rating bubble_50","Il personale è cordiale; cibo meraviglioso",""
"ui_bubble_rating bubble_50","Get the Tuscan Stufato",""
"ui_bubble_rating bubble_50","Eccellente, gustoso e in un'atmosfera fantastica",""
"ui_bubble_rating bubble_50","Eccellente",""
"ui_bubble_rating bubble_50","Il cibo era fantastico e l'esperienza",""
"ui_bubble_rating bubble_50","La perfezione!!",""
"ui_bubble_rating bubble_50","Casa molto bella cotta cibo....",""
"ui_bubble_rating bubble_50","Grazie Camillo Cavour",""
"ui_bubble_rating bubble_10","Cibo pessimo",""
"ui_bubble_rating bubble_50","Ristorante molto buono",""
"ui_bubble_rating bubble_40","Servizio di aliscafo, cibo gradevole, prezzi ragionevoli",""
"ui_bubble_rating bubble_50","Esperienza meravigliosa",""
"ui_bubble_rating bubble_50","Ristorante meraviglioso!",""
"ui_bubble_rating bubble_50","Ristorante veramente buono",""
"ui_bubble_rating bubble_40","Ottimo posto per una pausa a metà giornata",""
"ui_bubble_rating bubble_50","Ottima cena per la nostra notte a Firenze",""
"ui_bubble_rating bubble_50","Vero gioiello di un ristorante!",""
"ui_bubble_rating bubble_50","Meraviglioso Ristorante",""
"ui_bubble_rating bubble_50","Buon cibo tradizionale italiano, il servizio cortese",""
"ui_bubble_rating bubble_50","Tempo fantastica cena in Firenze",""
"ui_bubble_rating bubble_50","Il cibo e il servizio sono eccezionali--trovare una reale",""
"ui_bubble_rating bubble_40","Ottima live; fresh or chilled; frozen; dried tagliatelle con funghi porcini",""
"ui_bubble_rating bubble_50","Davvero bello.",""
"ui_bubble_rating bubble_50","Ottimo cibo, ottimo servizio!",""
"ui_bubble_rating bubble_50","Così buono, siamo tornati pochi giorni più tardi!",""
"ui_bubble_rating bubble_50","Avremmo voluto tornare",""
"ui_bubble_rating bubble_50","Il cibo era incredibile",""
"ui_bubble_rating bubble_50","2 Giorni a Firenze",""
"ui_bubble_rating bubble_40","Super Cena esperienza",""
"ui_bubble_rating bubble_50","Ottimo cibo e servizio!",""
"ui_bubble_rating bubble_50","Buon cibo",""
"ui_bubble_rating bubble_50","Fantastico!",""
"ui_bubble_rating bubble_50","Incredibile!",""
"ui_bubble_rating bubble_50","Pasto eccellente con un servizio cordiale.",""
"ui_bubble_rating bubble_50","Pranzo incantevole!",""
"ui_bubble_rating bubble_50","Il romanticismo di Sapore",""
"ui_bubble_rating bubble_10","Immondizia",""
"ui_bubble_rating bubble_50","Ottimo cibo e ottimo servizio",""
"ui_bubble_rating bubble_40","Un piccolo ristorante, bello",""
"ui_bubble_rating bubble_50","Il cibo era incredibile con servizio impeccabile!",""
"ui_bubble_rating bubble_50","Buon cibo e ottimo fuori zona pranzo",""
"ui_bubble_rating bubble_30","Non così grande",""
"ui_bubble_rating bubble_50","Così buono!",""
"ui_bubble_rating bubble_40","Ottenere la Peposa",""
"ui_bubble_rating bubble_50","È diventato il nostro posto di zona",""
"ui_bubble_rating bubble_50","Ottimo ristorante, bella e tranquilla.",""
"ui_bubble_rating bubble_50","Ottimo cibo!",""
"ui_bubble_rating bubble_50","Ottimo pranzo veloce",""
"ui_bubble_rating bubble_50","Incredibile!",""
"ui_bubble_rating bubble_50","Delicious",""
"ui_bubble_rating bubble_50","Questo ristorante è eccellente!",""
"ui_bubble_rating bubble_50","Ottimo servizio, ottima cucina",""
"ui_bubble_rating bubble_50","Ristorante è uno dei posti molto belli da visitare",""
"ui_bubble_rating bubble_20","OK ma non di più",""
"ui_bubble_rating bubble_50","Ottimo cibo ottimo servizio",""
"ui_bubble_rating bubble_50","Perla nascosta",""
"ui_bubble_rating bubble_40","Molto accogliente per un grande gruppo",""
"ui_bubble_rating bubble_50","Ottimo per il pranzo",""
"ui_bubble_rating bubble_30","Al massimo nella media",""
"ui_bubble_rating bubble_40","Firenze Ristorante Barbecue",""
"ui_bubble_rating bubble_50","Sorpresa di compleanno",""
"ui_bubble_rating bubble_50","Pasto fantastico",""
"ui_bubble_rating bubble_40","Perfetto",""
"ui_bubble_rating bubble_40","Ottima pasta",""
"ui_bubble_rating bubble_50","Eccellente",""
"ui_bubble_rating bubble_50","Il cibo è eccellente",""
"ui_bubble_rating bubble_50","Ristorante preferito Italia",""
"ui_bubble_rating bubble_50","Ottimo Ristorante",""
"ui_bubble_rating bubble_50","Perfetto!",""
"ui_bubble_rating bubble_50","Ottimo cibo e servizio",""
"ui_bubble_rating bubble_50","Barbecue vacanza in Italia",""
"ui_bubble_rating bubble_40","La pizza migliore finora in Italia",""
"ui_bubble_rating bubble_40","Menu esteso, ben preparato.",""
"ui_bubble_rating bubble_50","Ottima cucina, menù enorme!!",""
"ui_bubble_rating bubble_50","Ottimo cibo!",""
"ui_bubble_rating bubble_50","Vita notturna",""
"ui_bubble_rating bubble_50","Best in firenze",""
"ui_bubble_rating bubble_50","Nuovi anni!",""
"ui_bubble_rating bubble_50","Personale molto gentile",""
"ui_bubble_rating bubble_30","Cibo decente",""
"ui_bubble_rating bubble_40","Non rimarrete delusi",""
"ui_bubble_rating bubble_50","Ottimo cibo e servizio cordiale. Il cibo e le bevande esteso menu. Sicuri di soddisfare tutti.",""
"ui_bubble_rating bubble_20","Luogo di Ok",""
"ui_bubble_rating bubble_50","Ottimo posto!",""
"ui_bubble_rating bubble_50","Il miglior cibo di firenze!",""
"ui_bubble_rating bubble_20","Nessun collegamento tra le foto e il cibo",""
"ui_bubble_rating bubble_50","Il cibo è delizioso",""
"ui_bubble_rating bubble_30","Servizio cordiale bello ma troppo caro per quello che si ottiene",""
"ui_bubble_rating bubble_40","MAGNIFICA gamma di frullati freddi di ghiaccio",""
"ui_bubble_rating bubble_30","Buona esperienza nel complesso",""
"ui_bubble_rating bubble_50","Golden trovare.",""
"ui_bubble_rating bubble_40","Buon cibo, un po' troppo caro.",""
"ui_bubble_rating bubble_40","Un una questione di fortuna trovare!",""
"ui_bubble_rating bubble_40","Good Tiramisu",""
"ui_bubble_rating bubble_30","Personale gentile e disponibile",""
"ui_bubble_rating bubble_50","Ottima posizione",""
"ui_bubble_rating bubble_40","Una benedizione",""
"ui_bubble_rating bubble_50","Il cibo è eccellente",""
"ui_bubble_rating bubble_50","Servizio eccezionalmente cortese, caffè eccellente, buon cibo",""
"ui_bubble_rating bubble_40","Un tocco di cucina nordamericana per una pausa",""
"ui_bubble_rating bubble_50","Esperienza culinaria migliore in Firenze",""
"ui_bubble_rating bubble_50","Cibo e servizio eccellente",""
"ui_bubble_rating bubble_50","Buon cibo e servizio",""
"ui_bubble_rating bubble_50","Vale la pena visitare quando a Firenze",""
"ui_bubble_rating bubble_50","Ristorante raffinato, una vera perla",""
