"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"ui_bubble_rating bubble_50","Da provare!","Dovevo cenare da sola e non volevo spendere molto, queste, che sembravano le condizioni di una cena triste, all'Indian Palace hanno trovato tutt'altra conclusione.Nonostante fossero già le 22,00 mi hanno accolto splendidamente avendo cura di accompagnarmi a un buon tavolo e mi hanno subito portato uno stuzzichino. Ho trovato un bel menù, la cameriera sorridente e disponibile a spiegarmi ogni piatto e soprattutto dell'ottimo cibo. Bella l'attenzione che nei piatti accompagnati da una salsa piccante ce ne fosse sempre un'altra non piccante da poter scegliere o alternare.Ho mangiato molto bene e il prezzo è stata una sorpresa ancora più positiva: ho speso 13 euro per una cena completa che mi ha molto soddisfatta! Consigliatissimo!"
"ui_bubble_rating bubble_50","Piacevole cena indiana","Posto dove provare la cucina indiana. Il ristorante è un posto tranquillo e il cibo è veramente squisito. Il personale è pronto a darvi consigli ed è molto gentile. Il mio ragazzo ed io abbiamo mangiato il riso con la frutta secca accompagnato dal pollo al curry e dal paner masala. A seguire un tipo di crepe salata croccante ripiena di patate con le varie salsine. Buono anche il chai!"
"ui_bubble_rating bubble_50","Piacevole sorpresa","Menù molto vario, staff gentile e disponibile e prezzi davvero contenuti...eravamo indecisi su cosa mangiare e così ci hanno proposto un assaggio di diverse specialità, tutte molto buone. Se capitate da queste parti e siete curiosi di assaggiare una cucina diversa dal solito vi consigliamo questo ristorante. "
"ui_bubble_rating bubble_50","Ottimo!","Sala informale ed accogliete, musica indiana leggera che crea atmosfera. Cibo eccellente, gustoso e di qualità, proposto in una gran varietà di piatti. Ci sono anche scelte vegetariane. Tanti piatti per assaporare un po’ di tutto, con le golose salse in abbinamento. Personale gentile! Consigliato !"
"ui_bubble_rating bubble_50","Satsat","Piatti consueti in India e desueti a Firenze, idli, uttapam, dosa: abbiamo mangiato con piacere, tutto buono, atmosfera serena e piacevole.Vicino alla stazione, e al mercato centrale.Namasté. "
"ui_bubble_rating bubble_50","Molto buono e non caro!","Siamo degli abitueé dei ristoranti indiani, ma solitamente andiamo in un altro che - dopo tante prove - ci era parso il migliore a Firenze. Ma stavolta era chiuso e siamo venuti qui.Devo dire: ottimo!!!Cucina sia del nord che del sud (il cuoco è del Tamil Nadu) e così anche i vegetariani sono nel loro mondo: abbiamo preso un Navarantam Corma meraviglioso. Buono anche il riso con l'agnello (non ricordo il nome) e Chicken Tikka. Carinissima e brava la cameriera (Munisha, si chiama) che ci ha aiutato nella scelta.Prezzi più che ragionevoli. Porzioni abbondanti: contenetevi nell'ordinare, che poi sennò la roba vi avanza (come è successo a noi). Lo consiglio decisamente! "
"ui_bubble_rating bubble_50","Il migliore a Firenze","Il ristorante è accogliente.Ho mangiato dal e samosas,dal vada,chicken masala,malabar paratha,mango kasari tutto ottimo. Ci ritornerò."
"ui_bubble_rating bubble_50","accoglienza ottima, cibo buonissimo, prezzi più che ragionevoli","Diverso dagli altri ristoranti indiani sia nello stile, colorato e poco barocco, che nell'offerta di portate assai più diversificata ed originale, il tutto naturalmente in linea con le radici del Punjab.La ragazza, cui forse è affidato il compito di principale interlocutrice degli avventori, nonostante le evidenti origini fa sfoggio di una pronuncia più che toscana.Il cibo come detto e ottimo.Unico piccolo neo nell'offerta dei vini troppo ristretta.Prezzi assolutamente ragionevoli e cortesia in abbondanza.Da non perdere"
"ui_bubble_rating bubble_40","Molto buono","Menu molto ricco e piatti davvero buoni. Personale gentile. Locale grazioso, arredato in stile. Prezzi super accessibili!"
"ui_bubble_rating bubble_50","Ottimo cibo ottima location!","ottimo locale e serata bellissima.il proprietario sa consigliarti al meglio per poter assaporare al meglio i migliori piatti..Personale gentile,simpatico e soprattutto professionale. Adotta sia a coppie che per una serata tra amici. Consiglio: da provare assolutamente"
"ui_bubble_rating bubble_50","Piacevole sorpresa","Ottimo ristorante.chicken 65.dal vada.masala dosa,chicken jalfrazi,chilli chicken e pollo tanduri eccezionali! !!! Consigliatissimo.Personale e titolare gentilissimi. La cucina è veramente buona, forse uno dei migliori a Firenze.Da provare assolutamente."
"ui_bubble_rating bubble_50","Ottima serata in questo accogliente ristorante","Ho provato questo ristorante col mio fidanzato e ci siamo fidati delle buone recensioni online.Abbiamo scoperto questo locale grazie a The Fork. Cibo delizioso, personale molto cordiale, gentile e prezzo da concorrenza ! Ci torneremo sicuramente!"
"ui_bubble_rating bubble_50","Simpatia e buon cibo","Siamo stati due volte in questo ristorante ed entrambe le volte è stato un successo...la  dahi vada,pollo tandoori,masala dosa.Chilli paneer, garlic nan è ottima, mai mangiata così buona!! Il personale simpaticissimo! Sicuramente ci ritorneremo..."
"ui_bubble_rating bubble_50","Ottima scoperta","Abbiamo fatto una cenetta di coppia, personale molto cordiale, cibo buono Questo ristorante indiano è davvero buonissimo, ottimi piatti e ottima atmosfera! Buon rapporto qualità prezzo"
"ui_bubble_rating bubble_50","Super indiano! ","Seconda volta che ci torno. Molto buono. Servizio cortese, piatti ben serviti e saporiti. Non male anche l'atmosfera e in pieno centro. "
"ui_bubble_rating bubble_40","Bella atmosfera e cibo molto buono","Risotantino accogliente frequentato da indiani, personale molto gentile e sorridente . Il menù é vario , molto buono l’antipasto veg con pakora e imperdibile il lassi al pistacchio. Buon rapporto qualitá prezzo, ci torneremo!"
"ui_bubble_rating bubble_50","Cucina ottima del sud India","Buonissimo cibo dell'India del sud. Si sente che le materie prime sono molto fresche ed i piatti sono ottimi. Siamo usciti pienamente soddisfatti e sicuramente ci torniamo presto. Il Personale è gentilissimo e ci ha fatto sentire come a casa. Complimenti davvero buonissimo ristorante."
"ui_bubble_rating bubble_50","Meraviglioso Assolutamente da Provare","Ottimo ristorante indiano gusto piacevole prezzi più che onesti.locale accogliete pulito servizio ottimo,gentilissimo!lo consiglio vivamente! ci torneremo sicuramente."
"ui_bubble_rating bubble_40","Frequentato da indiani ","Questo ristorante, a pochi passi dalla celebre cupola del Brunelleschi, offre una vasta gamma di piatti ispirati alla tradizione dell’India del sud.Il cibo è a nostro parere, seppur non intenditori, buono e di qualità, accompagnato da un tripudio di spezie.Il servizio è stato veloce e disponibile. Il locale è molto pulito, abbastanza curato e climatizzato.Maggior parte della clientela era di origine indiana, quindi supponiamo sia molto valido come ristorante orientale."
"ui_bubble_rating bubble_50","Eccellente","Tutto buono, personale gentile e cortese, leggermente caro, ma ne vale comunque la pena, da provare!"
"ui_bubble_rating bubble_50","I migliori!!","Assolutamente da provare.Accoglienti,gentili,preparati per accontentare il cliente al meglio.Professionali!!Locale luminoso,ed elegante pulitissimo.Piatti abbondanti di ottima qualità.Prezzi buoni in base al rapporto qualità prezzo."
"ui_bubble_rating bubble_50","Indian Palace via guelfa","Ottimo. Veramente ottimo. Una miscela sapiente di Spezie e sapori . cortesia e buon cibo indiano. namaskar"
"ui_bubble_rating bubble_50","Bontà e cortesia made in India! ","Ristorante piccolo ma elegante. Personale molto attento e cortese. Cibo buono che, a quanto pare, è diverso e più raro rispetto ai soliti ristoranti indiani. Senz'altro consigliato! "
