"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Spettacolo ","Ottima pizza, la più digeribile in assoluto,prodotti di ottima qualità salumi meravigliosi soprattutto la mortadella ineguagliabile grande Jonny "
"ui_bubble_rating bubble_50","Straordinario ","Alimentari e pizzeria con prodotti a km zero, pani con varie farine lievitati naturalmente, pizza ottima e digeribile e bevande sempre al fresco. Massima cortesia da parte delle ragazze molto carine ed aperto fino alle nove di sera ogni giorno. "
"ui_bubble_rating bubble_40","Ottima Pizza","L'angolo del gusto è veramente una bella realtà , pizza squisita ben farcita e una gran varietà di gusti, bene continuate cosi, da provare"
