"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_40","ottime torte","Ottime le torte soprattutto quelle con crema chantilly e cioccolata un vero spasso per i sensi.... il locale è piccolino ma c'è un bel gazebo all'esterno con tavolini, prezzi un pochino alti ma soldi ben spesi, le ragazze del servizio sono professionali e gentili"
"ui_bubble_rating bubble_50","Torta regalo 50 anni di matrimonio","Davvero una torta buona e bella! Le ragazze hanno soddisfatto le mie aspettative sia per la scelta degli abbinamenti che per il gusto. La cosa più importante però è che hanno saputo interpretare il mio disegno e renderlo reale! Davvero molto disponibili, sono sicura soddisferanno anche i vostri Sogni di Zucchero"
"ui_bubble_rating bubble_20","Un passo indietro.","Dopo la prima recensione positiva, un bel passo indietro, vado spesso in questa pasticceria per la colazione e devo dire che mi sono trovato sempre bene, fino a poco tempo fa. Ultimamente, ho notato che le brioches, sono di dimensioni molto inferiori che in precedenza, e proprio in questi giorni vado per mangiare la mia brioche preferita e rimango molto deluso, la pasta era secca e anche la crema non era fresca a differenza di quella consumata il giorno prima. Deduco che la brioche era del giorno prima e anche le dimensioni sono nettamente inferiori al resto delle pasticcerie o bar di Jesi."
"ui_bubble_rating bubble_50","fantastico!","un luogo fantastico. lo frequentiamo da un po... per colazioni vegane e vegetariane. i croassant sono buonissimi, ripieni di mille sapori. per non parlare delle torte semifredde , squisite. il posto e' ottimo anche per prelibatissimi aperitivi vegani/vegetariani... scopritelo!"
"ui_bubble_rating bubble_50","Una bella scoperta","Locale situato nel viale della vittoria di Jesi e già prima di entrare si viene colpiti dalle tante torte e dolci presenti nelle varie vetrine.Il massimo dei voti è stato raggiunto con l'apericena internazionale a base di pietanze marocchine, soprattutto per il tajine di pollo e la zuppa tradizionale...Personale cortese e gentile...torneremo sicuramente!!"
"ui_bubble_rating bubble_40","Golosità anche per la vista","Se vuoi stupire con qualcosa di speciale, questo è il negozio che fa per te.centrale, grazioso e golosissimo."
"ui_bubble_rating bubble_40","Per golosi.","Mi reco spesso in questa pasticceria a fare colazione, devo dire che le brioches sono buonissime e c'è molta scelta di gusti. I Cupe Cake sono favolosi tranne i vegani, solo che avendo aumentato i prezzi sono molto cari, il personale è molto gentile e disponibile."
