"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_20","Mah...","Il pomeriggio non offre nulla di che, probabilmente la scelta era scarsa perchè avevano terminato le stuzzicherie del mattino e non erano ancora pronte quelle della sera... Bevande servite al tavolo su richiesta nostra (e non su proposta del barista), arrivate in modo triste e spartano, senza nulla da mangiare insieme (nemmeno una patatina o un piccolo cioccolatino con il caffè), tutti i tavoli senza tovaglioli. Altra nota molto spiacevole: si fuma addirittura nella veranda chiusa dal telone di plastica, senza aspiratori nè aperture. Probabilmente in orario da aperitivo sarà meglio, ma...questa prima esperienza è da rivedere assolutamente!"
"ui_bubble_rating bubble_50","Buona","Ci siamo stati diverse volte al loro Aperi/cena, sempre cordiali ed il posto è frequentato da bella gente, il servizio è ottimo anche al tavolo, diverse cosine da spizzicare ed il prezzo si adegua al tutto!!! Consigliato!!!"
"ui_bubble_rating bubble_30","Posto accogliente","Bar accogliente con ottima veranda esterna, buona la scelta delle brioche ed il cappuccino è molto gradevole, vasto assortimento di buffet per gli aperitivi, prezzi nella media della città."
