"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_40","Pollo buonissimo","Pollo dorato con pelle croccante all'esterno e saporito e per nulla asciutto all'interno ,per non parlare poi delle ottime patate in accompagnamento...gustosissimo"
"ui_bubble_rating bubble_40","per un pasto particolare","Se non si vuole andare al solito ristorante, questo locale e indicatissimo, si mangia polli arrosto cotti al momento con contorni vari, buono il tutto."
"ui_bubble_rating bubble_10","L'inferno è meglio!","Locale piccolo,personale non qualificato,pollo piccolissimo e stopposo,insapore e caro.Vi può bastare?"
"ui_bubble_rating bubble_50","polli buonissimo","Una buona alternativa per la pizza alla sera. I polli sono cotti bene, non secchi, sapore piacevole. I contorni sono ok. Patate molto buono, fagiolini un po grasso. A le mie figlie piace tantissimo il pollo arrosto"
